"Number.of.Times.Charted","Popularity","Tempo","Feature","Artist.Followers","Duration.ms"
1,66,125.177,0,42227614,304107
1,66,157.895,0,42227614,215920
1,64,127.967,0,42227614,275040
1,64,96.103,0,42227614,257773
1,62,151.884,0,42227614,180653
1,64,165.945,0,5002317,216560
1,63,172.995,0,5002317,199787
1,61,152.058,0,5002317,242267
1,60,123.105,0,5002317,148707
1,59,130.036,0,5002317,201093
1,62,158.073,0,5002317,176027
1,57,142.04,0,5002317,150853
3,73,123.013,0,36177712,191526
1,54,133.971,0,5002317,37013
1,61,142.017,0,5002317,325413
12,79,130.033,0,42227614,239560
1,70,76.017,0,19102888,183783
1,68,98.991,0,33893352,202357
1,64,170.903,0,35340069,216123
24,80,145.013,1,3828418,227478
2,70,126.054,0,36177712,139576
1,68,139.995,0,7816213,210699
2,77,121.981,0,15778531,196453
3,77,121.953,0,37151476,254950
14,76,113.968,0,133998,136839
39,79,96.172,1,36177712,295177
2,70,90.019,0,36177712,162299
17,78,73.779,0,2238190,181688
2,72,133.928,0,181236,215280
5,77,90.988,0,1276406,192745
1,70,145.001,0,36177712,162151
1,67,133.037,0,36177712,213609
1,67,76.993,0,36177712,165199
1,76,139.988,0,36177712,221187
1,70,191.911,1,36177712,163053
1,72,171.918,0,36177712,151506
1,66,90.872,0,36177712,157673
2,51,94.736,0,3609658,227653
2,76,114.91,0,37151476,222243
2,77,104.994,0,37151476,202313
2,75,101.085,0,37151476,239722
2,76,125.904,0,37151476,204800
5,71,115.016,0,15778531,213672
1,56,118.671,0,36177712,199720
1,74,175.984,0,15778531,205733
24,81,92.988,1,2435159,227520
1,60,114.822,0,37151476,179548
1,69,99.984,0,4430628,193555
11,78,101.022,1,4431309,178374
1,75,124.889,1,8123757,171360
1,59,120.046,0,4430628,230389
12,78,124.009,0,247480,342613
1,55,131.988,0,4430628,192965
22,72,98.031,0,2953525,166851
3,76,167.827,0,2238190,151705
16,75,158.831,0,19102888,196180
8,75,152.045,0,23848461,201122
7,76,149.836,1,100635,184905
1,78,76.899,0,11034144,484147
1,63,137.973,0,4430628,191869
8,78,143.01,1,9949044,195906
23,81,120.023,0,1963296,178000
44,83,89.991,0,2334615,167693
11,79,122.074,0,260236,203145
14,74,143.86,0,7909963,191945
28,77,130.022,0,150587,147800
1,78,151.951,1,10491105,213520
19,79,86.97,0,3509653,191406
3,73,142.018,1,1245965,217088
5,70,90.086,0,6096559,185719
1,56,144.081,1,10491105,274313
4,73,127.954,1,213344,161668
3,67,88.332,0,67208170,239949
4,80,99.993,0,3866304,143375
3,73,119.965,0,9398941,213693
4,72,149.967,0,689627,172245
1,64,123.043,1,10491105,228796
4,82,114.328,1,2688557,242293
18,77,85.84,0,6281829,218902
3,69,128.006,0,67208170,149900
15,80,89.643,0,1685215,153294
25,76,174.021,1,18306226,246000
46,82,118.917,0,661863,179080
4,74,129.966,0,486194,170233
4,80,151.964,0,5371000,232533
15,82,88.964,0,4759367,209274
10,69,105.027,1,23936368,275893
12,80,104.89,0,47061119,210005
4,76,173.905,1,3152313,174027
2,70,161.884,0,67208170,208457
2,63,127.698,0,67208170,157710
2,69,127.894,0,67208170,200733
1,76,82.363,0,2238190,153147
12,71,117.007,0,3198705,206760
11,73,170.081,0,26784251,198570
12,72,168.045,1,29238936,233160
6,75,172.08,1,9949044,193839
19,78,88.834,0,6852509,164580
2,66,92.013,0,67208170,158436
2,65,159.852,0,67208170,146959
45,79,92.977,0,83337783,197867
32,73,178.032,0,10580764,211613
30,80,162.948,0,1606884,167916
37,0,172.277,0,1251372,151147
1,63,120.109,0,67208170,183874
1,62,110.034,0,67208170,179861
1,62,87.865,0,67208170,132279
1,68,118.427,0,19345579,358053
26,78,102.998,0,17097317,171030
2,60,181.942,0,1683006,168991
1,62,128.044,0,17097317,207528
1,83,115.728,0,20110171,208400
7,72,110.075,0,10741972,180788
8,74,126.03,0,345027,182857
27,80,171.943,0,8766508,247308
6,74,154.981,0,17732077,202795
4,67,111.712,0,23848461,161168
8,79,160.048,0,8673345,199758
27,82,106.966,0,67208170,207320
28,74,105.013,1,5966748,249143
2,73,82.96,1,4442273,146375
7,0,103.072,1,1251372,159863
27,79,129.979,1,179193,165978
14,75,91.985,1,2172969,219202
14,75,74.897,0,2819406,252733
27,80,123.97,0,10925614,179867
23,75,147.988,1,7593792,199549
1,77,135.187,0,28335338,285240
34,81,95.971,0,1758300,212607
18,68,99.954,0,68875,144000
